,Age,TypeofContact,CityTier,DurationOfPitch,Occupation,Gender,NumberOfPersonVisiting,NumberOfFollowups,ProductPitched,PreferredPropertyStar,NumberOfTrips,Passport,PitchSatisfactionScore,Designation,MonthlyIncome,ProdTaken,married,car_possesion,offspring
43,50.0,0.0,2,21.0,0,0,1.0,3.0,standard,3.0,1.0,0,2,seniormanager,362580.0,0,0,0,0
44,33.0,,1,,0,1,1.0,3.0,deluxe,3.0,1.0,0,1,manager,282075.0,0,2,0,0
45,35.0,0.0,1,13.0,2,1,1.0,3.0,standard,4.0,1.0,0,1,seniormanager,356760.0,0,2,1,0
46,59.0,0.0,2,8.0,1,0,1.0,3.0,standard,3.0,1.0,0,2,seniormanager,364980.0,0,2,0,0
47,43.0,0.0,2,14.0,1,0,1.0,3.0,standard,3.0,5.0,0,2,manager,350310.0,0,2,1,0
48,32.0,0.0,2,25.0,0,0,1.0,4.0,standard,3.0,3.0,0,2,seniormanager,429570.0,1,1,0,0
49,47.0,1.0,1,15.0,1,1,1.0,3.0,basic,3.0,1.0,0,1,executive,272475.0,0,3,0,0
50,42.0,0.0,2,16.0,1,0,1.0,3.0,basic,3.0,2.0,0,1,executive,273840.0,0,3,0,0
51,53.0,1.0,1,12.0,0,0,1.0,3.0,standard,3.0,1.0,0,1,seniormanager,372150.0,0,1,1,0
52,56.0,1.0,1,11.0,0,0,1.0,3.0,superdeluxe,4.0,5.0,0,1,avp,462615.0,0,2,1,0
53,33.0,0.0,1,11.0,0,0,1.0,3.0,standard,3.0,5.0,0,2,seniormanager,345690.0,0,1,0,0
54,58.0,0.0,1,14.0,0,1,1.0,3.0,deluxe,3.0,4.0,0,1,manager,397245.0,0,1,0,0
55,33.0,0.0,2,16.0,0,1,1.0,3.0,deluxe,3.0,5.0,0,2,manager,297855.0,0,2,1,0
56,32.0,0.0,1,9.0,1,0,1.0,3.0,basic,3.0,1.0,0,1,executive,269895.0,0,0,1,0
57,50.0,0.0,2,16.0,0,0,1.0,3.0,standard,4.0,5.0,1,1,seniormanager,427050.0,1,2,1,0
58,40.0,0.0,1,14.0,0,1,1.0,3.0,standard,3.0,2.0,1,1,seniormanager,418080.0,0,1,1,0
59,26.0,0.0,2,17.0,2,0,1.0,3.0,basic,3.0,2.0,1,2,executive,264615.0,1,0,0,0
60,47.0,1.0,2,15.0,1,0,1.0,3.0,standard,3.0,2.0,1,1,seniormanager,415545.0,0,0,0,0
61,47.0,0.0,2,10.0,2,0,1.0,3.0,basic,3.0,1.0,1,2,executive,258915.0,1,3,1,0
62,52.0,0.0,2,16.0,0,1,1.0,3.0,superdeluxe,4.0,5.0,0,1,avp,507870.0,0,0,1,0
63,29.0,0.0,2,13.0,1,0,1.0,5.0,deluxe,3.0,7.0,0,1,manager,303960.0,0,3,0,0
64,44.0,1.0,2,7.0,1,0,1.0,5.0,deluxe,3.0,1.0,0,2,manager,309645.0,0,2,0,0
65,54.0,0.0,1,12.0,1,0,2.0,4.0,standard,3.0,2.0,0,1,seniormanager,400000.0,0,3,1,0
66,51.0,0.0,2,7.0,0,0,2.0,4.0,superdeluxe,3.0,3.0,0,2,avp,479610.0,0,2,1,0
67,59.0,0.0,1,13.0,0,0,2.0,4.0,superdeluxe,3.0,4.0,0,1,avp,463050.0,0,2,1,0
68,25.0,0.0,1,7.0,1,0,2.0,4.0,basic,3.0,2.0,0,2,executive,270735.0,0,0,0,0
69,29.0,0.0,1,15.0,0,1,2.0,4.0,basic,3.0,5.0,0,2,executive,263865.0,0,3,0,0
70,21.0,1.0,2,13.0,1,1,2.0,4.0,basic,3.0,3.0,0,2,executive,316770.0,1,2,0,0
71,56.0,1.0,1,10.0,1,0,2.0,4.0,superdeluxe,3.0,6.0,0,1,avp,400000.0,0,2,1,0
72,50.0,1.0,3,6.0,1,1,2.0,4.0,standard,3.0,4.0,0,2,seniormanager,358935.0,0,1,1,0
73,57.0,0.0,1,8.0,1,1,2.0,4.0,basic,3.0,2.0,0,2,executive,263010.0,0,0,1,0
74,37.0,0.0,1,13.0,2,0,2.0,4.0,basic,4.0,7.0,0,2,executive,273900.0,1,3,0,0
75,20.0,1.0,1,13.0,0,0,2.0,4.0,basic,3.0,2.0,0,2,executive,257295.0,0,3,0,0
76,53.0,0.0,2,14.0,1,0,2.0,4.0,standard,4.0,5.0,0,2,seniormanager,438195.0,0,1,1,0
77,30.0,0.0,1,8.0,1,0,2.0,4.0,basic,3.0,2.0,0,1,executive,267480.0,0,3,1,0
78,35.0,0.0,3,12.0,0,0,2.0,4.0,standard,4.0,1.0,0,2,seniormanager,438210.0,0,3,1,0
79,36.0,0.0,1,11.0,1,1,2.0,4.0,standard,3.0,2.0,0,2,seniormanager,371820.0,0,3,1,0
80,36.0,0.0,3,18.0,1,1,2.0,5.0,standard,3.0,1.0,0,1,seniormanager,300000.0,0,3,0,0
81,38.0,1.0,2,5.0,0,0,2.0,4.0,standard,3.0,5.0,0,2,seniormanager,410000.0,0,3,0,0
82,49.0,1.0,3,15.0,1,1,2.0,4.0,standard,4.0,2.0,0,1,seniormanager,370000.0,0,2,1,0
83,37.0,1.0,1,31.0,2,1,2.0,4.0,standard,3.0,2.0,0,1,seniormanager,393705.0,0,1,0,0
84,50.0,1.0,2,14.0,1,1,2.0,4.0,basic,3.0,5.0,1,2,executive,263730.0,1,0,0,0
85,51.0,1.0,2,10.0,0,0,2.0,4.0,standard,3.0,3.0,1,2,seniormanager,366900.0,0,0,1,0
86,43.0,1.0,2,11.0,1,0,2.0,4.0,basic,3.0,5.0,1,2,executive,262560.0,1,3,0,0
87,40.0,1.0,2,15.0,1,1,2.0,4.0,deluxe,3.0,2.0,1,1,manager,437895.0,0,3,0,0
88,,1.0,1,9.0,2,0,1.0,3.0,basic,3.0,1.0,0,3,executive,269235.0,0,2,0,0
89,54.0,1.0,2,16.0,1,0,1.0,1.0,superdeluxe,4.0,1.0,1,4,avp,428610.0,0,2,1,0
90,,0.0,2,15.0,2,1,1.0,4.0,basic,3.0,1.0,0,3,executive,243540.0,1,0,0,0
91,26.0,0.0,2,17.0,0,1,1.0,3.0,basic,3.0,2.0,0,4,executive,256455.0,0,0,0,0
92,40.0,0.0,1,23.0,0,0,1.0,3.0,basic,3.0,1.0,0,5,executive,252360.0,0,2,1,0
93,31.0,0.0,3,14.0,0,1,1.0,3.0,basic,3.0,2.0,0,3,executive,260000.0,0,3,1,0
94,27.0,0.0,2,15.0,0,1,1.0,1.0,basic,3.0,2.0,0,3,executive,256890.0,0,2,1,0
95,40.0,1.0,1,11.0,0,1,1.0,2.0,deluxe,3.0,1.0,0,3,manager,331515.0,0,0,0,0
96,,0.0,1,17.0,0,1,1.0,3.0,deluxe,3.0,6.0,1,4,manager,270870.0,1,2,0,0
97,33.0,1.0,2,9.0,1,0,2.0,4.0,basic,3.0,1.0,0,4,executive,320000.0,1,0,1,0
98,20.0,1.0,2,35.0,1,0,2.0,4.0,basic,3.0,3.0,0,3,executive,262500.0,1,2,0,0
99,58.0,0.0,2,15.0,1,1,2.0,4.0,basic,3.0,2.0,0,3,executive,266790.0,0,3,0,0
100,33.0,1.0,1,17.0,1,1,2.0,4.0,basic,4.0,2.0,1,3,executive,271980.0,1,0,0,0
101,20.0,0.0,2,11.0,1,0,2.0,4.0,basic,3.0,2.0,1,4,executive,300000.0,1,0,1,0
102,32.0,1.0,2,28.0,1,0,2.0,4.0,basic,3.0,5.0,1,4,executive,349995.0,1,3,1,0
103,34.0,1.0,2,20.0,0,1,2.0,4.0,basic,3.0,7.0,0,4,executive,270405.0,1,3,0,0
104,20.0,0.0,2,15.0,0,1,2.0,4.0,basic,3.0,7.0,0,3,executive,295065.0,1,0,1,0
105,51.0,1.0,2,15.0,1,1,1.0,4.0,basic,3.0,2.0,0,2,executive,274395.0,0,3,1,0
106,40.0,0.0,2,7.0,0,0,1.0,4.0,superdeluxe,3.0,5.0,0,2,avp,280200.0,0,3,1,0
107,26.0,0.0,3,11.0,0,0,1.0,4.0,standard,3.0,3.0,1,2,seniormanager,370000.0,1,2,1,0
108,22.0,0.0,2,9.0,2,0,1.0,4.0,basic,3.0,2.0,1,2,executive,254535.0,1,0,1,0
109,46.0,1.0,1,10.0,0,0,2.0,3.0,deluxe,3.0,3.0,0,2,manager,,0,2,0,0
110,21.0,1.0,1,9.0,1,1,2.0,3.0,basic,3.0,3.0,0,1,executive,258405.0,0,0,1,0
111,24.0,0.0,2,14.0,0,0,2.0,3.0,standard,3.0,3.0,0,2,seniormanager,344400.0,1,0,1,0
112,45.0,1.0,2,12.0,0,0,2.0,3.0,deluxe,3.0,5.0,0,2,manager,330000.0,0,3,1,0
113,33.0,1.0,1,7.0,1,1,2.0,3.0,basic,3.0,1.0,0,1,executive,254205.0,0,3,1,0
114,33.0,0.0,1,16.0,0,0,2.0,3.0,deluxe,3.0,2.0,0,2,manager,288480.0,0,3,1,0
115,56.0,0.0,2,15.0,0,1,2.0,3.0,superdeluxe,3.0,2.0,0,2,avp,500000.0,0,2,1,0
116,36.0,1.0,1,13.0,0,1,2.0,3.0,standard,3.0,2.0,0,2,seniormanager,500000.0,0,2,1,0
117,41.0,0.0,1,17.0,0,0,2.0,3.0,superdeluxe,4.0,3.0,0,2,avp,413865.0,0,0,1,0
118,50.0,1.0,2,6.0,1,0,2.0,3.0,superdeluxe,4.0,1.0,0,2,avp,460000.0,0,3,1,0
119,31.0,1.0,1,17.0,2,1,2.0,4.0,basic,3.0,5.0,0,1,executive,257340.0,0,0,0,0
120,22.0,0.0,3,16.0,0,1,2.0,3.0,basic,3.0,2.0,0,1,executive,255405.0,0,0,1,0
121,38.0,0.0,2,16.0,1,1,2.0,3.0,basic,4.0,5.0,0,2,executive,270000.0,1,0,1,0
122,38.0,0.0,1,18.0,1,1,1.0,3.0,basic,3.0,5.0,0,3,executive,249315.0,0,0,0,0
123,31.0,0.0,2,16.0,0,0,2.0,3.0,basic,3.0,2.0,0,1,executive,259680.0,0,3,1,0
124,18.0,0.0,2,8.0,2,0,2.0,3.0,basic,3.0,7.0,0,2,executive,242280.0,1,0,1,0
125,52.0,0.0,3,8.0,1,0,1.0,3.0,king,3.0,1.0,0,5,vp,274515.0,0,0,0,0
126,45.0,0.0,3,9.0,2,1,1.0,3.0,basic,3.0,4.0,0,3,executive,264480.0,0,2,0,0
127,30.0,0.0,1,12.0,1,1,2.0,3.0,basic,3.0,5.0,0,1,executive,258390.0,0,3,1,0
128,38.0,0.0,2,14.0,0,0,2.0,3.0,deluxe,3.0,2.0,0,2,manager,260310.0,1,0,0,0
129,43.0,0.0,2,8.0,0,0,2.0,3.0,standard,3.0,2.0,0,1,seniormanager,445575.0,0,3,1,0
130,43.0,1.0,3,16.0,1,0,2.0,3.0,standard,4.0,2.0,0,1,seniormanager,436320.0,0,0,1,0
131,35.0,0.0,3,16.0,0,1,2.0,4.0,deluxe,3.0,3.0,0,1,manager,371775.0,0,2,0,0
132,26.0,0.0,1,14.0,1,1,1.0,3.0,basic,3.0,2.0,0,4,executive,267015.0,1,0,0,0
133,46.0,0.0,3,17.0,2,1,2.0,3.0,standard,4.0,5.0,0,2,seniormanager,336735.0,0,3,1,0
134,52.0,1.0,2,17.0,1,0,2.0,3.0,standard,4.0,2.0,0,1,seniormanager,404385.0,0,0,1,0
135,39.0,1.0,1,7.0,0,0,2.0,3.0,standard,3.0,2.0,0,2,seniormanager,365130.0,0,3,0,0
136,46.0,1.0,2,9.0,2,1,2.0,3.0,superdeluxe,4.0,2.0,0,2,avp,483855.0,0,0,1,-1
137,43.0,1.0,1,16.0,0,1,2.0,3.0,king,4.0,1.0,0,1,vp,474720.0,0,0,0,0
138,46.0,1.0,1,13.0,1,0,2.0,3.0,basic,3.0,4.0,0,2,executive,257970.0,0,0,0,0
139,40.0,1.0,1,17.0,1,1,2.0,3.0,basic,3.0,1.0,0,2,executive,268350.0,0,0,1,0
140,50.0,1.0,1,17.0,0,1,2.0,3.0,deluxe,3.0,1.0,0,2,manager,400320.0,0,2,0,0
141,55.0,1.0,2,8.0,0,1,1.0,3.0,king,3.0,2.0,0,3,vp,420780.0,0,2,1,0
142,50.0,0.0,1,13.0,0,0,1.0,3.0,standard,3.0,1.0,0,4,executive,269235.0,0,3,0,0
143,58.0,1.0,2,11.0,0,0,2.0,3.0,basic,3.0,2.0,1,1,executive,270540.0,0,0,0,0
144,27.0,1.0,2,7.0,0,1,2.0,3.0,basic,3.0,1.0,1,2,executive,258285.0,1,3,1,0
145,50.0,1.0,2,15.0,0,1,2.0,3.0,standard,3.0,2.0,1,1,seniormanager,274380.0,1,0,0,0
146,36.0,0.0,3,14.0,1,1,2.0,3.0,superdeluxe,3.0,4.0,1,1,avp,431010.0,0,0,0,0
147,50.0,0.0,3,13.0,0,1,2.0,3.0,standard,3.0,2.0,1,2,seniormanager,373845.0,0,1,0,0
148,34.0,0.0,2,14.0,1,0,3.0,5.0,basic,3.0,6.0,0,1,executive,,0,0,0,0
149,24.0,0.0,3,15.0,0,1,3.0,4.0,standard,3.0,2.0,0,2,seniormanager,353670.0,0,2,1,0
150,53.0,1.0,1,14.0,0,0,3.0,4.0,superdeluxe,3.0,3.0,0,2,avp,449715.0,0,0,1,0
151,38.0,1.0,2,10.0,0,1,3.0,4.0,standard,3.0,1.0,0,2,seniormanager,398475.0,0,3,1,0
152,45.0,1.0,1,8.0,0,1,3.0,4.0,standard,3.0,2.0,0,2,seniormanager,390000.0,0,1,0,0
153,50.0,1.0,1,36.0,1,0,3.0,4.0,superdeluxe,3.0,3.0,0,1,avp,490000.0,0,2,1,-1
154,38.0,1.0,3,14.0,1,0,3.0,4.0,basic,4.0,2.0,0,2,executive,265110.0,0,0,0,0
155,41.0,1.0,1,8.0,2,0,3.0,4.0,superdeluxe,3.0,3.0,0,2,avp,385905.0,0,0,1,0
156,39.0,1.0,1,9.0,1,1,1.0,3.0,standard,3.0,3.0,0,2,seniormanager,411855.0,0,0,0,0
157,30.0,1.0,1,8.0,0,0,1.0,3.0,basic,3.0,1.0,0,2,executive,257025.0,0,3,1,0
158,27.0,0.0,1,8.0,1,0,1.0,3.0,basic,3.0,2.0,0,1,executive,264345.0,0,0,1,0
159,31.0,1.0,2,8.0,1,0,1.0,3.0,basic,3.0,7.0,0,2,executive,251850.0,1,0,0,0
160,46.0,1.0,1,11.0,1,0,1.0,3.0,king,3.0,6.0,0,2,vp,467460.0,0,3,0,0
161,40.0,0.0,1,7.0,0,1,1.0,3.0,superdeluxe,3.0,2.0,0,2,avp,476955.0,0,2,0,0
162,52.0,0.0,1,16.0,1,0,1.0,3.0,basic,3.0,4.0,0,2,executive,277005.0,0,0,0,0
163,30.0,1.0,1,7.0,2,1,2.0,4.0,basic,3.0,2.0,0,2,executive,245340.0,0,0,0,0
164,43.0,1.0,1,9.0,1,1,2.0,4.0,basic,3.0,1.0,0,2,executive,278595.0,0,3,1,0
165,27.0,0.0,2,15.0,2,0,2.0,4.0,basic,3.0,6.0,1,2,executive,296055.0,1,0,0,0
166,36.0,1.0,2,8.0,0,0,2.0,4.0,basic,3.0,2.0,0,2,executive,264990.0,0,0,1,0
167,40.0,0.0,1,14.0,1,1,1.0,1.0,standard,3.0,1.0,0,1,seniormanager,430470.0,0,2,1,0
168,33.0,0.0,2,18.0,1,0,1.0,3.0,superdeluxe,3.0,1.0,0,1,avp,342585.0,1,0,0,0
169,31.0,0.0,2,16.0,2,1,1.0,3.0,basic,3.0,1.0,0,2,executive,260000.0,1,0,0,0
170,31.0,0.0,2,14.0,0,1,1.0,3.0,deluxe,3.0,2.0,0,1,manager,332460.0,0,0,0,0
171,28.0,0.0,1,14.0,0,0,1.0,,deluxe,3.0,3.0,0,2,manager,300000.0,0,0,1,0
172,26.0,1.0,2,18.0,1,0,1.0,1.0,basic,3.0,5.0,0,2,executive,256650.0,1,3,0,0
173,,0.0,1,13.0,1,0,1.0,3.0,basic,3.0,2.0,0,1,executive,275160.0,0,3,0,0
174,55.0,1.0,1,24.0,1,0,2.0,3.0,superdeluxe,3.0,7.0,0,2,avp,428025.0,0,2,1,-1
175,58.0,1.0,1,16.0,0,0,1.0,1.0,superdeluxe,3.0,6.0,0,1,avp,461010.0,0,2,1,0
176,31.0,0.0,3,16.0,1,0,1.0,3.0,basic,3.0,2.0,0,1,executive,245805.0,0,3,1,0
177,32.0,0.0,2,15.0,1,0,1.0,3.0,basic,3.0,3.0,0,2,executive,256545.0,1,0,0,0
178,60.0,1.0,1,11.0,1,0,1.0,1.0,superdeluxe,4.0,6.0,1,1,avp,400000.0,0,2,1,0
179,33.0,1.0,2,23.0,1,1,1.0,1.0,basic,3.0,2.0,1,1,executive,260445.0,0,3,0,0
180,27.0,0.0,2,6.0,2,0,1.0,3.0,standard,3.0,2.0,1,2,seniormanager,440280.0,1,0,0,0
181,40.0,1.0,2,12.0,0,0,2.0,4.0,superdeluxe,3.0,2.0,0,2,avp,481905.0,0,0,1,0
182,25.0,1.0,2,16.0,1,0,3.0,5.0,basic,3.0,3.0,0,1,executive,333030.0,1,3,0,0
183,28.0,0.0,2,9.0,1,0,3.0,5.0,basic,3.0,7.0,0,2,executive,310575.0,1,0,0,0
184,50.0,1.0,1,18.0,2,0,3.0,5.0,basic,3.0,5.0,0,2,executive,306420.0,1,0,1,0
185,27.0,1.0,1,9.0,0,0,3.0,5.0,basic,4.0,2.0,1,1,executive,270780.0,1,3,1,0
186,22.0,1.0,2,14.0,0,0,2.0,5.0,basic,3.0,3.0,0,2,executive,310245.0,1,0,1,0
187,49.0,0.0,1,9.0,0,0,1.0,3.0,superdeluxe,3.0,6.0,0,2,avp,502545.0,0,0,0,0
188,24.0,1.0,2,8.0,1,0,2.0,4.0,basic,3.0,1.0,0,3,executive,261180.0,1,0,1,0
189,51.0,1.0,1,20.0,0,0,2.0,4.0,basic,3.0,7.0,0,3,executive,300000.0,0,3,1,0
190,24.0,1.0,1,8.0,1,0,2.0,3.0,basic,3.0,2.0,0,4,executive,263715.0,1,2,1,0
191,31.0,0.0,2,14.0,1,0,2.0,3.0,basic,4.0,2.0,0,4,executive,261225.0,1,3,0,0
192,,1.0,1,10.0,1,0,2.0,3.0,basic,4.0,6.0,0,4,executive,,0,2,0,0
193,32.0,1.0,2,10.0,1,1,2.0,3.0,deluxe,3.0,1.0,0,4,manager,262635.0,0,2,1,0
194,60.0,0.0,1,9.0,1,1,2.0,3.0,king,4.0,1.0,0,5,vp,456855.0,0,3,1,0
195,46.0,0.0,2,24.0,1,1,2.0,3.0,basic,3.0,2.0,0,3,executive,258810.0,0,3,0,0
196,39.0,0.0,2,9.0,1,1,2.0,3.0,basic,4.0,2.0,0,4,executive,268290.0,0,0,1,0
197,48.0,1.0,1,9.0,2,0,2.0,3.0,king,4.0,6.0,0,5,vp,474525.0,0,3,1,0
198,54.0,1.0,2,14.0,1,0,2.0,3.0,standard,3.0,5.0,0,4,seniormanager,440000.0,0,3,0,0
199,,0.0,3,8.0,1,1,2.0,3.0,deluxe,3.0,6.0,0,4,manager,262305.0,0,2,0,0
200,47.0,1.0,2,11.0,1,1,2.0,3.0,standard,4.0,2.0,0,3,seniormanager,400000.0,0,1,0,0
201,45.0,1.0,1,15.0,1,1,2.0,4.0,basic,3.0,4.0,0,3,executive,255885.0,0,3,1,0
202,28.0,1.0,1,16.0,2,1,2.0,4.0,basic,4.0,2.0,0,3,executive,260100.0,0,2,0,0
203,40.0,1.0,1,18.0,2,1,2.0,4.0,basic,3.0,5.0,0,3,executive,267270.0,0,2,0,0
204,29.0,0.0,3,8.0,1,1,2.0,3.0,standard,3.0,1.0,0,4,seniormanager,406605.0,0,1,1,0
205,59.0,0.0,1,10.0,1,1,2.0,3.0,standard,3.0,5.0,0,3,seniormanager,450000.0,0,2,1,0
206,34.0,1.0,1,8.0,2,1,2.0,3.0,standard,3.0,2.0,0,4,seniormanager,274290.0,0,1,0,0
207,47.0,0.0,1,13.0,2,1,2.0,3.0,standard,4.0,2.0,0,5,seniormanager,358770.0,0,2,1,0
208,,0.0,2,11.0,1,0,2.0,3.0,basic,3.0,2.0,1,4,executive,272220.0,1,2,1,0
209,37.0,0.0,2,24.0,1,1,2.0,3.0,standard,3.0,2.0,1,4,seniormanager,426015.0,0,1,1,0
210,30.0,0.0,1,17.0,2,0,2.0,3.0,basic,3.0,2.0,1,5,executive,267405.0,0,2,0,0
211,52.0,1.0,1,15.0,0,0,2.0,3.0,standard,4.0,3.0,0,3,seniormanager,412440.0,0,2,1,0
212,46.0,1.0,1,25.0,0,1,2.0,3.0,basic,3.0,1.0,0,4,executive,270000.0,0,3,0,0
213,24.0,1.0,2,14.0,0,0,2.0,3.0,deluxe,3.0,3.0,0,4,manager,259515.0,0,3,1,0
214,30.0,1.0,2,13.0,0,0,2.0,3.0,standard,3.0,2.0,0,3,manager,265800.0,0,3,1,0
215,47.0,1.0,2,32.0,0,0,2.0,3.0,deluxe,3.0,5.0,0,3,manager,343440.0,0,3,1,0
216,,0.0,3,8.0,0,0,2.0,3.0,deluxe,3.0,1.0,0,5,manager,300000.0,0,2,1,0
217,58.0,1.0,1,14.0,0,0,2.0,3.0,standard,3.0,5.0,0,4,seniormanager,364680.0,0,2,0,0
218,33.0,1.0,3,14.0,0,0,2.0,3.0,superdeluxe,3.0,2.0,0,4,avp,413730.0,0,3,1,0
219,31.0,0.0,2,9.0,0,0,2.0,3.0,basic,3.0,3.0,0,4,executive,397935.0,1,2,0,0
220,49.0,1.0,2,15.0,0,0,2.0,4.0,basic,4.0,2.0,0,4,executive,348930.0,0,2,1,0
221,50.0,0.0,2,9.0,0,0,2.0,3.0,basic,3.0,1.0,0,4,executive,274260.0,0,2,1,0
222,20.0,1.0,3,13.0,0,1,2.0,3.0,basic,3.0,2.0,1,4,executive,254850.0,0,3,1,0
223,26.0,0.0,2,14.0,0,1,2.0,3.0,basic,4.0,1.0,1,3,executive,349590.0,1,1,0,0
224,22.0,0.0,2,9.0,0,0,2.0,3.0,basic,3.0,3.0,1,3,executive,263400.0,1,2,1,0
225,50.0,0.0,2,10.0,0,0,1.0,4.0,superdeluxe,3.0,2.0,0,1,avp,546660.0,0,2,0,0
226,59.0,0.0,2,10.0,0,1,1.0,3.0,superdeluxe,4.0,6.0,0,2,avp,600000.0,0,0,1,0
