,Age,TypeofContact,CityTier,DurationOfPitch,Occupation,Gender,NumberOfPersonVisiting,NumberOfFollowups,ProductPitched,PreferredPropertyStar,NumberOfTrips,Passport,PitchSatisfactionScore,Designation,MonthlyIncome,Married,CarPossesion,NumberOfOffspring,Single,NumberOfFollowups > NumberOfPersonVisiting,ProductPitched_Designation,Income / child,MoneyforOneTrip,AllOfcontact,NumberOfPersonVisiting - NumberOfOffspring,ProdTaken
45,35,0.0,1.0,13,0.0,0.0,1.0,3,3.0,0.0,1,0.0,2.0,3.0,357,2.0,1.0,0,1,1,3_3,3570000.0,4284.0,19,1.0,0
46,59,0.0,2.0,8,1.0,1.0,1.0,3,3.0,1.0,1,0.0,1.0,3.0,365,2.0,0.0,0,1,1,3_3,3650000.0,4380.0,14,1.0,0
47,43,0.0,2.0,14,1.0,1.0,1.0,3,3.0,1.0,5,0.0,1.0,2.0,350,2.0,1.0,0,1,1,3_2,3500000.0,840.0,20,1.0,0
48,32,0.0,2.0,25,2.0,1.0,1.0,4,3.0,1.0,3,0.0,1.0,3.0,430,1.0,0.0,0,1,1,3_3,4300000.0,1720.0,33,1.0,1
49,47,1.0,1.0,15,1.0,0.0,1.0,3,4.0,1.0,1,0.0,2.0,4.0,272,3.0,0.0,0,1,1,4_4,2720000.0,3264.0,21,1.0,0
50,42,0.0,2.0,16,1.0,1.0,1.0,3,4.0,1.0,2,0.0,2.0,4.0,274,3.0,0.0,0,1,1,4_4,2740000.0,1644.0,22,1.0,0
51,53,1.0,1.0,12,2.0,1.0,1.0,3,3.0,1.0,1,0.0,2.0,3.0,372,1.0,1.0,0,1,1,3_3,3720000.0,4464.0,18,1.0,0
52,56,1.0,1.0,11,2.0,1.0,1.0,3,1.0,0.0,5,0.0,2.0,1.0,463,2.0,1.0,0,1,1,1_1,4630000.0,1111.2,17,1.0,0
53,33,0.0,1.0,11,2.0,1.0,1.0,3,3.0,1.0,5,0.0,1.0,3.0,346,1.0,0.0,0,1,1,3_3,3460000.0,830.4,17,1.0,0
54,58,0.0,1.0,14,2.0,0.0,1.0,3,2.0,1.0,4,0.0,2.0,2.0,397,1.0,0.0,0,1,1,2_2,3970000.0,1191.0,20,1.0,0
55,33,0.0,2.0,16,2.0,0.0,1.0,3,2.0,1.0,5,0.0,1.0,2.0,298,2.0,1.0,0,1,1,2_2,2980000.0,715.2,22,1.0,0
56,32,0.0,1.0,9,1.0,1.0,1.0,3,4.0,1.0,1,0.0,2.0,4.0,270,0.0,1.0,0,0,1,4_4,2700000.0,3240.0,15,1.0,0
57,50,0.0,2.0,16,2.0,1.0,1.0,3,3.0,0.0,5,1.0,2.0,3.0,427,2.0,1.0,0,1,1,3_3,4270000.0,1024.8,22,1.0,1
58,44,0.0,1.0,14,2.0,0.0,1.0,3,3.0,1.0,2,1.0,2.0,3.0,418,1.0,1.0,0,1,1,3_3,4180000.0,2508.0,20,1.0,0
59,26,0.0,2.0,17,0.0,1.0,1.0,3,4.0,1.0,2,1.0,1.0,4.0,265,0.0,0.0,0,0,1,4_4,2650000.0,1590.0,23,1.0,1
60,47,1.0,2.0,15,1.0,1.0,1.0,3,3.0,1.0,2,1.0,2.0,3.0,416,0.0,0.0,0,0,1,3_3,4160000.0,2496.0,21,1.0,0
61,47,0.0,2.0,10,0.0,1.0,1.0,3,4.0,1.0,1,1.0,1.0,4.0,259,3.0,1.0,0,1,1,4_4,2590000.0,3108.0,16,1.0,1
62,52,0.0,2.0,16,2.0,0.0,1.0,3,1.0,0.0,5,0.0,2.0,1.0,508,0.0,1.0,0,0,1,1_1,5080000.0,1219.2,22,1.0,0
63,29,0.0,2.0,13,1.0,1.0,1.0,5,2.0,1.0,7,0.0,2.0,2.0,304,3.0,0.0,0,1,1,2_2,3040000.0,521.1428571428571,23,1.0,0
64,44,1.0,2.0,7,1.0,1.0,1.0,5,2.0,1.0,1,0.0,1.0,2.0,310,2.0,0.0,0,1,1,2_2,3100000.0,3720.0,17,1.0,0
65,54,0.0,1.0,12,1.0,1.0,2.0,4,3.0,1.0,2,0.0,2.0,3.0,400,3.0,1.0,0,1,1,3_3,4000000.0,2400.0,20,2.0,0
66,51,0.0,2.0,7,2.0,1.0,2.0,4,1.0,1.0,3,0.0,1.0,1.0,480,2.0,1.0,0,1,1,1_1,4800000.0,1920.0,15,2.0,0
67,59,0.0,1.0,13,2.0,1.0,2.0,4,1.0,1.0,4,0.0,2.0,1.0,463,2.0,1.0,0,1,1,1_1,4630000.0,1389.0,21,2.0,0
68,25,0.0,1.0,7,1.0,1.0,2.0,4,4.0,1.0,2,0.0,1.0,4.0,271,0.0,0.0,0,0,1,4_4,2710000.0,1626.0,15,2.0,0
69,29,0.0,1.0,15,2.0,0.0,2.0,4,4.0,1.0,5,0.0,1.0,4.0,264,3.0,0.0,0,1,1,4_4,2640000.0,633.6,23,2.0,0
70,21,1.0,2.0,13,1.0,0.0,2.0,4,4.0,1.0,3,0.0,1.0,4.0,317,2.0,0.0,0,1,1,4_4,3170000.0,1268.0,21,2.0,1
71,56,1.0,1.0,10,1.0,1.0,2.0,4,1.0,1.0,6,0.0,2.0,1.0,400,2.0,1.0,0,1,1,1_1,4000000.0,800.0,18,2.0,0
72,38,1.0,3.0,6,1.0,0.0,2.0,4,3.0,1.0,4,0.0,1.0,3.0,359,1.0,1.0,0,1,1,3_3,3590000.0,1077.0,14,2.0,0
73,57,0.0,1.0,8,1.0,0.0,2.0,4,4.0,1.0,2,0.0,1.0,4.0,263,0.0,1.0,0,0,1,4_4,2630000.0,1578.0,16,2.0,0
74,37,0.0,1.0,13,0.0,1.0,2.0,4,4.0,0.0,7,0.0,1.0,4.0,274,3.0,0.0,0,1,1,4_4,2740000.0,469.7142857142857,21,2.0,1
75,34,1.0,1.0,13,2.0,1.0,2.0,4,4.0,1.0,2,0.0,1.0,4.0,257,3.0,0.0,0,1,1,4_4,2570000.0,1542.0,21,2.0,0
76,53,0.0,2.0,14,1.0,1.0,2.0,4,3.0,0.0,5,0.0,1.0,3.0,438,1.0,1.0,0,1,1,3_3,4380000.0,1051.2,22,2.0,0
77,35,0.0,1.0,8,1.0,1.0,2.0,4,4.0,1.0,2,0.0,2.0,4.0,267,3.0,1.0,0,1,1,4_4,2670000.0,1602.0,16,2.0,0
78,35,0.0,3.0,12,2.0,1.0,2.0,4,3.0,0.0,1,0.0,1.0,3.0,438,3.0,1.0,0,1,1,3_3,4380000.0,5256.0,20,2.0,0
79,36,0.0,1.0,11,1.0,0.0,2.0,4,3.0,1.0,2,0.0,1.0,3.0,372,3.0,1.0,0,1,1,3_3,3720000.0,2232.0,19,2.0,0
80,36,0.0,3.0,18,1.0,0.0,2.0,5,3.0,1.0,1,0.0,2.0,3.0,300,3.0,0.0,0,1,1,3_3,3000000.0,3600.0,28,2.0,0
81,38,1.0,2.0,5,2.0,1.0,2.0,4,3.0,1.0,5,0.0,1.0,3.0,410,3.0,0.0,0,1,1,3_3,4100000.0,984.0,13,2.0,0
82,49,1.0,3.0,15,1.0,0.0,2.0,4,3.0,0.0,2,0.0,2.0,3.0,370,2.0,1.0,0,1,1,3_3,3700000.0,2220.0,23,2.0,0
83,37,1.0,1.0,31,0.0,0.0,2.0,4,3.0,1.0,2,0.0,2.0,3.0,394,1.0,0.0,0,1,1,3_3,3940000.0,2364.0,39,2.0,0
84,50,1.0,2.0,14,1.0,0.0,2.0,4,4.0,1.0,5,1.0,1.0,4.0,264,0.0,0.0,0,0,1,4_4,2640000.0,633.6,22,2.0,1
85,51,1.0,2.0,10,2.0,1.0,2.0,4,3.0,1.0,3,1.0,1.0,3.0,367,0.0,1.0,0,0,1,3_3,3670000.0,1468.0,18,2.0,0
86,43,1.0,2.0,11,1.0,1.0,2.0,4,4.0,1.0,5,1.0,1.0,4.0,263,3.0,0.0,0,1,1,4_4,2630000.0,631.2,19,2.0,1
87,40,1.0,2.0,15,1.0,0.0,2.0,4,2.0,1.0,2,1.0,2.0,2.0,438,3.0,0.0,0,1,1,2_2,4380000.0,2628.0,23,2.0,0
88,33,1.0,1.0,9,0.0,1.0,1.0,3,4.0,1.0,1,0.0,0.0,4.0,269,2.0,0.0,0,1,1,4_4,2690000.0,3228.0,15,1.0,0
89,54,1.0,2.0,16,1.0,1.0,1.0,1,1.0,0.0,1,1.0,-1.0,1.0,429,2.0,1.0,0,1,0,1_1,4290000.0,5148.0,18,1.0,0
90,29,0.0,2.0,15,0.0,0.0,1.0,4,4.0,1.0,1,0.0,0.0,4.0,244,0.0,0.0,0,0,1,4_4,2440000.0,2928.0,23,1.0,1
91,26,0.0,2.0,17,2.0,0.0,1.0,3,4.0,1.0,2,0.0,-1.0,4.0,256,0.0,0.0,0,0,1,4_4,2560000.0,1536.0,23,1.0,0
92,32,0.0,1.0,23,2.0,1.0,1.0,3,4.0,1.0,1,0.0,-2.0,4.0,252,2.0,1.0,0,1,1,4_4,2520000.0,3024.0,29,1.0,0
93,31,0.0,3.0,14,2.0,0.0,1.0,3,4.0,1.0,2,0.0,0.0,4.0,260,3.0,1.0,0,1,1,4_4,2600000.0,1560.0,20,1.0,0
94,27,0.0,2.0,15,2.0,0.0,1.0,1,4.0,1.0,2,0.0,0.0,4.0,257,2.0,1.0,0,1,0,4_4,2570000.0,1542.0,17,1.0,0
95,40,1.0,1.0,11,2.0,0.0,1.0,2,2.0,1.0,1,0.0,0.0,2.0,332,0.0,0.0,0,0,0,2_2,3320000.0,3984.0,15,1.0,0
96,42,0.0,1.0,17,2.0,0.0,1.0,3,2.0,1.0,6,1.0,-1.0,2.0,271,2.0,0.0,0,1,1,2_2,2710000.0,542.0,23,1.0,1
97,33,1.0,2.0,9,1.0,1.0,2.0,4,4.0,1.0,1,0.0,-1.0,4.0,320,0.0,1.0,0,0,1,4_4,3200000.0,3840.0,17,2.0,1
98,20,1.0,2.0,35,1.0,1.0,2.0,4,4.0,1.0,3,0.0,0.0,4.0,262,2.0,0.0,0,1,1,4_4,2620000.0,1048.0,43,2.0,1
99,58,0.0,2.0,15,1.0,0.0,2.0,4,4.0,1.0,2,0.0,0.0,4.0,267,3.0,0.0,0,1,1,4_4,2670000.0,1602.0,23,2.0,0
100,33,1.0,1.0,17,1.0,0.0,2.0,4,4.0,0.0,2,1.0,0.0,4.0,272,0.0,0.0,0,0,1,4_4,2720000.0,1632.0,25,2.0,1
101,20,0.0,2.0,11,1.0,1.0,2.0,4,4.0,1.0,2,1.0,-1.0,4.0,300,0.0,1.0,0,0,1,4_4,3000000.0,1800.0,19,2.0,1
102,32,1.0,2.0,28,1.0,1.0,2.0,4,4.0,1.0,5,1.0,-1.0,4.0,350,3.0,1.0,0,1,1,4_4,3500000.0,840.0,36,2.0,1
103,34,1.0,2.0,20,2.0,0.0,2.0,4,4.0,1.0,7,0.0,-1.0,4.0,270,3.0,0.0,0,1,1,4_4,2700000.0,462.85714285714283,28,2.0,1
104,36,0.0,2.0,15,2.0,0.0,2.0,4,4.0,1.0,7,0.0,0.0,4.0,295,0.0,1.0,0,0,1,4_4,2950000.0,505.7142857142857,23,2.0,1
105,51,1.0,2.0,15,1.0,0.0,1.0,4,4.0,1.0,2,0.0,1.0,4.0,274,3.0,1.0,0,1,1,4_4,2740000.0,1644.0,23,1.0,0
106,40,0.0,2.0,7,2.0,1.0,1.0,4,1.0,1.0,5,0.0,1.0,1.0,280,3.0,1.0,0,1,1,1_1,2800000.0,672.0,15,1.0,0
107,26,0.0,3.0,11,2.0,1.0,1.0,4,3.0,1.0,3,1.0,1.0,3.0,370,2.0,1.0,0,1,1,3_3,3700000.0,1480.0,19,1.0,1
108,22,0.0,2.0,9,0.0,1.0,1.0,4,4.0,1.0,2,1.0,1.0,4.0,255,0.0,1.0,0,0,1,4_4,2550000.0,1530.0,17,1.0,1
109,46,1.0,1.0,10,2.0,1.0,2.0,3,2.0,1.0,3,0.0,1.0,2.0,376,2.0,0.0,0,1,0,2_2,3760000.0,1504.0,16,2.0,0
110,21,1.0,1.0,9,1.0,0.0,2.0,3,4.0,1.0,3,0.0,2.0,4.0,258,0.0,1.0,0,0,0,4_4,2580000.0,1032.0,15,2.0,0
111,24,0.0,2.0,14,2.0,1.0,2.0,3,3.0,1.0,3,0.0,1.0,3.0,344,0.0,1.0,0,0,0,3_3,3440000.0,1376.0,20,2.0,1
112,45,1.0,2.0,12,2.0,1.0,2.0,3,2.0,1.0,5,0.0,1.0,2.0,330,3.0,1.0,0,1,0,2_2,3300000.0,792.0,18,2.0,0
113,33,1.0,1.0,7,1.0,0.0,2.0,3,4.0,1.0,1,0.0,2.0,4.0,254,3.0,1.0,0,1,0,4_4,2540000.0,3048.0,13,2.0,0
114,33,0.0,1.0,16,2.0,1.0,2.0,3,2.0,1.0,2,0.0,1.0,2.0,288,3.0,1.0,0,1,0,2_2,2880000.0,1728.0,22,2.0,0
115,56,0.0,2.0,15,2.0,0.0,2.0,3,1.0,1.0,2,0.0,1.0,1.0,500,2.0,1.0,0,1,0,1_1,5000000.0,3000.0,21,2.0,0
116,36,1.0,1.0,13,2.0,0.0,2.0,3,3.0,1.0,2,0.0,1.0,3.0,500,2.0,1.0,0,1,0,3_3,5000000.0,3000.0,19,2.0,0
117,41,0.0,1.0,17,2.0,1.0,2.0,3,1.0,0.0,3,0.0,1.0,1.0,414,0.0,1.0,0,0,0,1_1,4140000.0,1656.0,23,2.0,0
118,50,1.0,2.0,6,1.0,1.0,2.0,3,1.0,0.0,1,0.0,1.0,1.0,460,3.0,1.0,0,1,0,1_1,4600000.0,5520.0,12,2.0,0
119,31,1.0,1.0,17,0.0,0.0,2.0,4,4.0,1.0,5,0.0,2.0,4.0,257,0.0,0.0,0,0,1,4_4,2570000.0,616.8,25,2.0,0
120,22,0.0,3.0,16,2.0,0.0,2.0,3,4.0,1.0,2,0.0,2.0,4.0,255,0.0,1.0,0,0,0,4_4,2550000.0,1530.0,22,2.0,0
121,38,0.0,2.0,16,1.0,0.0,2.0,3,4.0,0.0,5,0.0,1.0,4.0,270,0.0,1.0,0,0,0,4_4,2700000.0,648.0,22,2.0,1
122,38,0.0,1.0,18,1.0,0.0,1.0,3,4.0,1.0,5,0.0,0.0,4.0,249,0.0,0.0,0,0,1,4_4,2490000.0,597.6,24,1.0,0
123,31,0.0,2.0,16,2.0,1.0,2.0,3,4.0,1.0,2,0.0,2.0,4.0,260,3.0,1.0,0,1,0,4_4,2600000.0,1560.0,22,2.0,0
124,18,0.0,2.0,8,0.0,1.0,2.0,3,4.0,1.0,7,0.0,1.0,4.0,242,0.0,1.0,0,0,0,4_4,2420000.0,414.85714285714283,14,2.0,1
125,52,0.0,3.0,8,1.0,1.0,1.0,3,0.0,1.0,1,0.0,-2.0,0.0,275,0.0,0.0,0,0,1,0_0,2750000.0,3300.0,14,1.0,0
126,45,0.0,3.0,9,0.0,0.0,1.0,3,4.0,1.0,4,0.0,0.0,4.0,264,2.0,0.0,0,1,1,4_4,2640000.0,792.0,15,1.0,0
127,30,0.0,1.0,12,1.0,0.0,2.0,3,4.0,1.0,5,0.0,2.0,4.0,258,3.0,1.0,0,1,0,4_4,2580000.0,619.2,18,2.0,0
128,38,0.0,2.0,14,2.0,1.0,2.0,3,2.0,1.0,2,0.0,1.0,2.0,260,0.0,0.0,0,0,0,2_2,2600000.0,1560.0,20,2.0,1
129,43,0.0,2.0,8,2.0,1.0,2.0,3,3.0,1.0,2,0.0,2.0,3.0,446,3.0,1.0,0,1,0,3_3,4460000.0,2676.0,14,2.0,0
130,43,1.0,3.0,16,1.0,1.0,2.0,3,3.0,0.0,2,0.0,2.0,3.0,436,0.0,1.0,0,0,0,3_3,4360000.0,2616.0,22,2.0,0
131,35,0.0,3.0,16,2.0,0.0,2.0,4,2.0,1.0,3,0.0,2.0,2.0,372,2.0,0.0,0,1,1,2_2,3720000.0,1488.0,24,2.0,0
132,26,0.0,1.0,14,1.0,0.0,1.0,3,4.0,1.0,2,0.0,-1.0,4.0,267,0.0,0.0,0,0,1,4_4,2670000.0,1602.0,20,1.0,1
133,46,0.0,3.0,17,0.0,0.0,2.0,3,3.0,0.0,5,0.0,1.0,3.0,337,3.0,1.0,0,1,0,3_3,3370000.0,808.8,23,2.0,0
134,52,1.0,2.0,17,1.0,1.0,2.0,3,3.0,0.0,2,0.0,2.0,3.0,404,0.0,1.0,0,0,0,3_3,4040000.0,2424.0,23,2.0,0
135,39,1.0,1.0,7,2.0,1.0,2.0,3,3.0,1.0,2,0.0,1.0,3.0,365,3.0,0.0,0,1,0,3_3,3650000.0,2190.0,13,2.0,0
136,46,1.0,2.0,9,0.0,0.0,2.0,3,1.0,0.0,2,0.0,1.0,1.0,484,0.0,1.0,1,0,0,1_1,483.95160483951605,2904.0,15,1.0,0
137,43,1.0,1.0,16,2.0,0.0,2.0,3,0.0,0.0,1,0.0,2.0,0.0,475,0.0,0.0,0,0,0,0_0,4750000.0,5700.0,22,2.0,0
138,46,1.0,1.0,13,1.0,1.0,2.0,3,4.0,1.0,4,0.0,1.0,4.0,258,0.0,0.0,0,0,0,4_4,2580000.0,774.0,19,2.0,0
139,32,1.0,1.0,17,1.0,0.0,2.0,3,4.0,1.0,1,0.0,1.0,4.0,268,0.0,1.0,0,0,0,4_4,2680000.0,3216.0,23,2.0,0
140,43,1.0,1.0,17,2.0,0.0,2.0,3,2.0,1.0,1,0.0,1.0,2.0,400,2.0,0.0,0,1,0,2_2,4000000.0,4800.0,23,2.0,0
141,55,1.0,2.0,8,2.0,0.0,1.0,3,0.0,1.0,2,0.0,0.0,0.0,421,2.0,1.0,0,1,1,0_0,4210000.0,2526.0,14,1.0,0
142,50,0.0,1.0,13,2.0,1.0,1.0,3,3.0,1.0,1,0.0,-1.0,4.0,269,3.0,0.0,0,1,1,3_4,2690000.0,3228.0,19,1.0,0
143,58,1.0,2.0,11,2.0,1.0,2.0,3,4.0,1.0,2,1.0,2.0,4.0,271,0.0,0.0,0,0,0,4_4,2710000.0,1626.0,17,2.0,0
144,27,1.0,2.0,7,2.0,0.0,2.0,3,4.0,1.0,1,1.0,1.0,4.0,258,3.0,1.0,0,1,0,4_4,2580000.0,3096.0,13,2.0,1
145,34,1.0,2.0,15,2.0,0.0,2.0,3,3.0,1.0,2,1.0,2.0,3.0,274,0.0,0.0,0,0,0,3_3,2740000.0,1644.0,21,2.0,1
146,36,0.0,3.0,14,1.0,0.0,2.0,3,1.0,1.0,4,1.0,2.0,1.0,431,0.0,0.0,0,0,0,1_1,4310000.0,1293.0,20,2.0,0
147,50,0.0,3.0,13,2.0,0.0,2.0,3,3.0,1.0,2,1.0,1.0,3.0,374,1.0,0.0,0,1,0,3_3,3740000.0,2244.0,19,2.0,0
148,34,0.0,2.0,14,1.0,1.0,3.0,5,4.0,1.0,6,0.0,2.0,4.0,302,0.0,0.0,0,0,1,4_4,3020000.0,604.0,24,3.0,0
149,24,0.0,3.0,15,2.0,0.0,3.0,4,3.0,1.0,2,0.0,1.0,3.0,354,2.0,1.0,0,1,0,3_3,3540000.0,2124.0,23,3.0,0
150,53,1.0,1.0,14,2.0,1.0,3.0,4,1.0,1.0,3,0.0,1.0,1.0,450,0.0,1.0,0,0,0,1_1,4500000.0,1800.0,22,3.0,0
151,38,1.0,2.0,10,2.0,0.0,3.0,4,3.0,1.0,1,0.0,1.0,3.0,398,3.0,1.0,0,1,0,3_3,3980000.0,4776.0,18,3.0,0
